Date,Country,Confirmed,Deaths,NewCases,Recovered
2020-01-31,France,5.0,0.0,0.0,0.0
2020-02-01,France,6.0,0.0,1.0,0.0
2020-02-02,France,6.0,0.0,0.0,0.0
2020-02-03,France,6.0,0.0,0.0,0.0
2020-02-04,France,6.0,0.0,0.0,0.0
2020-02-05,France,6.0,0.0,0.0,0.0
2020-02-06,France,6.0,0.0,0.0,0.0
2020-02-07,France,6.0,0.0,0.0,0.0
2020-02-08,France,11.0,0.0,5.0,0.0
2020-02-09,France,11.0,0.0,0.0,0.0
2020-02-10,France,11.0,0.0,0.0,0.0
2020-02-11,France,11.0,0.0,0.0,0.0
2020-02-12,France,11.0,0.0,0.0,2.0
2020-02-13,France,11.0,0.0,0.0,2.0
2020-02-14,France,11.0,0.0,0.0,2.0
2020-02-15,France,12.0,1.0,1.0,4.0
2020-02-16,France,12.0,1.0,0.0,4.0
2020-02-17,France,12.0,1.0,0.0,4.0
2020-02-18,France,12.0,1.0,0.0,4.0
2020-02-19,France,12.0,1.0,0.0,4.0
2020-02-20,France,12.0,1.0,0.0,4.0
2020-02-21,France,12.0,1.0,0.0,4.0
2020-02-22,France,12.0,1.0,0.0,4.0
2020-02-23,France,12.0,1.0,0.0,4.0
2020-02-24,France,12.0,1.0,0.0,4.0
2020-02-25,France,14.0,1.0,2.0,11.0
2020-02-26,France,18.0,2.0,4.0,11.0
2020-02-27,France,38.0,2.0,20.0,11.0
2020-02-28,France,57.0,2.0,19.0,11.0
2020-02-29,France,100.0,2.0,43.0,12.0
2020-03-01,France,130.0,2.0,30.0,12.0
2020-03-02,France,191.0,3.0,61.0,12.0
2020-03-03,France,204.0,4.0,13.0,12.0
2020-03-04,France,285.0,4.0,81.0,12.0
2020-03-05,France,377.0,6.0,92.0,12.0
2020-03-06,France,653.0,9.0,276.0,12.0
2020-03-07,France,949.0,11.0,296.0,12.0
2020-03-08,France,1126.0,19.0,177.0,12.0
2020-03-09,France,1209.0,19.0,83.0,12.0
2020-03-10,France,1784.0,33.0,575.0,12.0
2020-03-11,France,2284.0,48.0,500.0,12.0
2020-03-12,France,2284.0,48.0,0.0,12.0
2020-03-13,France,3667.0,79.0,1383.0,12.0
2020-01-28,Germany,4.0,0.0,,0.0
2020-01-29,Germany,4.0,0.0,0.0,0.0
2020-01-30,Germany,4.0,0.0,0.0,0.0
2020-01-31,Germany,5.0,0.0,1.0,0.0
2020-02-01,Germany,8.0,0.0,3.0,0.0
2020-02-02,Germany,10.0,0.0,2.0,0.0
2020-02-03,Germany,12.0,0.0,2.0,0.0
2020-02-04,Germany,12.0,0.0,0.0,0.0
2020-02-05,Germany,12.0,0.0,0.0,0.0
2020-02-06,Germany,12.0,0.0,0.0,0.0
2020-02-07,Germany,13.0,0.0,1.0,0.0
2020-02-08,Germany,13.0,0.0,0.0,0.0
2020-02-09,Germany,14.0,0.0,1.0,0.0
2020-02-10,Germany,14.0,0.0,0.0,0.0
2020-02-11,Germany,16.0,0.0,2.0,0.0
2020-02-12,Germany,16.0,0.0,0.0,0.0
2020-02-13,Germany,16.0,0.0,0.0,1.0
2020-02-14,Germany,16.0,0.0,0.0,1.0
2020-02-15,Germany,16.0,0.0,0.0,1.0
2020-02-16,Germany,16.0,0.0,0.0,1.0
2020-02-17,Germany,16.0,0.0,0.0,1.0
2020-02-18,Germany,16.0,0.0,0.0,12.0
2020-02-19,Germany,16.0,0.0,0.0,12.0
2020-02-20,Germany,16.0,0.0,0.0,12.0
2020-02-21,Germany,16.0,0.0,0.0,14.0
2020-02-22,Germany,16.0,0.0,0.0,14.0
2020-02-23,Germany,16.0,0.0,0.0,14.0
2020-02-24,Germany,16.0,0.0,0.0,14.0
2020-02-25,Germany,17.0,0.0,1.0,14.0
2020-02-26,Germany,27.0,0.0,10.0,15.0
2020-02-27,Germany,46.0,0.0,19.0,16.0
2020-02-28,Germany,48.0,0.0,2.0,16.0
2020-02-29,Germany,79.0,0.0,31.0,16.0
2020-03-01,Germany,130.0,0.0,51.0,16.0
2020-03-02,Germany,159.0,0.0,29.0,16.0
2020-03-03,Germany,196.0,0.0,37.0,16.0
2020-03-04,Germany,262.0,0.0,66.0,16.0
2020-03-05,Germany,482.0,0.0,220.0,16.0
2020-03-06,Germany,670.0,0.0,188.0,17.0
2020-03-07,Germany,799.0,0.0,129.0,18.0
2020-03-08,Germany,1040.0,0.0,241.0,18.0
2020-03-09,Germany,1176.0,2.0,136.0,18.0
2020-03-10,Germany,1457.0,2.0,281.0,18.0
2020-03-11,Germany,1908.0,3.0,451.0,25.0
2020-03-12,Germany,2078.0,3.0,170.0,25.0
2020-03-13,Germany,3675.0,7.0,1597.0,46.0
